empresa_estacao,COD_AREA,COD_UF,UF,cidade,COD_IBGE,situacao,TCN_2G,TCN_3G,TCN_4G,TCN_5G
TIM,55,43,Rio Grande do Sul,Tuparendi,4322301,Licenciada,2,null,2,null
CLARO,84,24,Rio Grande do Norte,Ceará-Mirim,2402600,Licenciada,7,7,7,null
CLARO,97,13,Amazonas,Boca do Acre,1300706,Licenciada,2,3,4,null
TIM,49,42,Santa Catarina,Concórdia,4204301,Licenciada,5,9,11,7
CLARO,41,41,Paraná,Matinhos,4115705,Licenciada,11,8,13,null
CLARO,63,17,Tocantins,Guaraí,1709302,Licenciada,2,4,3,null
VIVO,32,31,Minas Gerais,Visconde do Rio Branco,3172004,Licenciada,3,3,3,null
VIVO,87,26,Pernambuco,Ibirajuba,2606705,Licenciada,null,1,1,null
TIM,33,31,Minas Gerais,Ataléia,3104700,Licenciada,null,null,1,null
TIM,18,35,São Paulo,Echaporã,3514700,Licenciada,1,1,1,null
TIM,93,15,Pará,Jacareacanga,1503754,Licenciada,null,1,2,null
TIM,63,17,Tocantins,Marianópolis do Tocantins,1712504,Licenciada,1,1,1,null
VIVO,79,28,Sergipe,Ilha das Flores,2802700,Licenciada,1,1,2,null
TIM,11,35,São Paulo,Santa Isabel,3546801,Licenciada,7,6,13,4
ALGAR,16,35,São Paulo,Orlândia,3534302,Licenciada,1,3,3,1
TIM,89,22,Piauí,Brejo do Piauí,2201988,Licenciada,null,1,1,null
ALGAR,37,31,Minas Gerais,Iguatama,3130309,Licenciada,1,1,1,null
TIM,18,35,São Paulo,Irapuru,3521606,Licenciada,1,1,1,null
TIM,83,25,Paraíba,Poço Dantas,2512036,Licenciada,1,1,1,null
VIVO,75,29,Bahia,Brejões,2904308,Licenciada,1,1,2,null
TIM,64,52,Goiás,Piracanjuba,5217104,Licenciada,1,null,1,null
TIM,43,41,Paraná,Lidianópolis,4113429,Licenciada,1,2,3,null
VIVO,62,52,Goiás,Minaçu,5213087,Licenciada,1,1,4,null
CLARO,16,35,São Paulo,Cajuru,3509403,Licenciada,5,5,5,null
TIM,75,29,Bahia,Santaluz,2928000,Licenciada,2,1,3,null
TIM,84,24,Rio Grande do Norte,Portalegre,2410207,Licenciada,1,1,1,1
TIM,85,23,Ceará,Itaitinga,2306256,Licenciada,2,2,3,3
VIVO,49,42,Santa Catarina,Xanxerê,4219507,Licenciada,5,3,3,1
CLARO,17,35,São Paulo,Ubarana,3555356,Licenciada,1,1,1,null
TIM,73,29,Bahia,Gongogi,2911501,Licenciada,1,1,1,null
